Prompt,Dominant_Topic,Keywords
EXTERNALURL  EXTERNALURL ,3,"externalurl, style, painting, image, 8k, like, art, background, make, oil"
EXTERNALURL  EXTERNALURL ,3,"externalurl, style, painting, image, 8k, like, art, background, make, oil"
an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,1,"design, :, style, logo, glass, hand, one, background, like, two"
art for podcast named Taste Buds that is hosted by these two guys EXTERNALURL ,1,"design, :, style, logo, glass, hand, one, background, like, two"
8k photo realistic great white shark on beach  realistic teeth  realistic eyes  realistic colors  bystanders on the beach  photography image,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
wide angle full body shot  group of agressive Cyberpunk 2077 NPCs  6th Street gang  standing in the shadow of a building  on the street corner  Downtown Los Angeles   ,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
artwork by michel granger skull ,2,"room, house, fire, made, living, view, side, area, city, background"
banana and peanut butter toast drawn in a 3d cartoon style on a white background  ,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
new York city transit map diagram in the year 400 000 a d  v 5  ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
Create an image for children ages 3 6 years old  The scene should include a variety of flowers and plants in bright  primary and secondary colors  Arrange the colors in the garden to resemble a rainbow  gradually transitioning from one color to another  Include friendly insects like a smiling butterfly  The insects should be colorful and have simple  recognizable features  Make sure the overall composition is balanced  easy to understand  Use a bright colorful blue sky with fluffy white clouds in the background  and a simple colorful grassy ground to complete the scene ,3,"externalurl, style, painting, image, 8k, like, art, background, make, oil"
female avatar EXTERNALURL  color  4aa2b4  cubism  ,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
Twix candy bar on the moon,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
Logo of a beautiful house with a 2 meter trophy in front of it  and the Number 1 engraved on the trophy  flat style 4k,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
EXTERNALURL  white label seo report provider,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
EXTERNALURL  wide angle photo of a cemetery on fire with many graves  dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor  flames  hd  super realistic  hyper detailed  Photoshoot  high quality  insane details  hyper detailed  ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
simple pixel art ui theme style blank background in a beige and black color  ,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
vector graphic  solid background  tauras zodiac character  female queen  realistic  8k HD  colorful  cinematic lighting  bull  fantasy  powerful   ,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
Looking down the cyberpunk City  airships shuttle in the air  colorful colors  fog  rainy days  neon lights  Marc Simonetti on artstation8K HD,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
farmer bitcoin  8k  cinematic,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
grey alien that looks like a photograph taken with a high quality camera  The lighting should be natural and the colors should be vivid but not oversaturated  The image should be detailed and sharp  with a shallow depth of field that emphasizes the subject and blurs the background  The overall tone should be realistic and true to life  with no obvious signs of digital manipulation or artificiality   ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
Naomi Campbell  model  vogue  photography  super detail  fashion  light photography  editorial vogue  editorial,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
The Search for the Golden Acorn  illustration  water paint,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
elephant in group with baby   going to drink  full body  side view  sunny day  national geographic  award winner  on Agfa Vista  ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
a young  hispanic housewife in the 1950s with short straight hair in a bob style  rich mocha skin color  light pastel yellow background  digital color drawing  pop realism style  ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
male person in a classroom  looking at his labtop  face with lot of fear  horror  pixar style  high quality  ,3,"externalurl, style, painting, image, 8k, like, art, background, make, oil"
a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
carpet swatch,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
Jesus as a drag queen on the cross  ,3,"externalurl, style, painting, image, 8k, like, art, background, make, oil"
three different football ball  for coloring ,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
cat Superman 3d real  ,5,"style, wearing, woman, face, man, hair, cat, eyes, color, 8k"
man,5,"style, wearing, woman, face, man, hair, cat, eyes, color, 8k"
scary gathering of witches and demons,2,"room, house, fire, made, living, view, side, area, city, background"
Photograph of a Tree stump in a rainy forest  Dark and gloomy  Sun setting behind camera  Rain coming down  Detailed and stylised  Wide lens  Photorealistic ,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
Face of Wrestling legend Sami Zayn carved into stone  very detailled  4k,5,"style, wearing, woman, face, man, hair, cat, eyes, color, 8k"
vector logo  black and white  friendly fat ninja using a kimono  ,1,"design, :, style, logo, glass, hand, one, background, like, two"
EXTERNALURL   cute young woman  pixar character  3d  cgi  art  blurred yellow background  high resolution  4K resolution,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
sleek modern one page website for middleware software  ui  ux,5,"style, wearing, woman, face, man, hair, cat, eyes, color, 8k"
photorealistic runner sprint on the right side and jogger on the left side  ,2,"room, house, fire, made, living, view, side, area, city, background"
 interactive virtual training   ,4,"image, colors, create, scene, use, color, sense, lighting, atmosphere, details"
wrapped present with futuristic wrapping paper,6,"style, background, logo, cartoon, design, illustration, art, vector, colors, book"
boxing gaming vibes ksi  Logan Paul,0,"photo, lighting, 8k, background, hair, style, photography, woman, shot, camera"
