Channel,User Id,Prompt,Timestamp
newbies-113,1.07E+18,two skeleton hugging in love,2023-04-27T04:45:13.409000+00:00
newbies-113,8.65E+17,"a close up of the front of a modern brown door, high details --ar 2:3",2023-04-27T04:31:48.017000+00:00
newbies-113,1.10E+18,"An animated woman in a doodle style, viewed from the torso up, with radiant hair.",2023-04-27T04:34:32.824000+00:00
newbies-113,8.22E+17,driagramatic drawing of self-confidence,2023-04-27T04:41:28.202000+00:00
newbies-113,6.12E+17,"Pocahontas as an evil villain, full body, realistic style --v 5",2023-04-27T04:33:17.079000+00:00
newbies-113,8.53E+17,"logo for the store barney bear, happy brown bear in an apron in blue and white stripes --stylize 500",2023-04-27T04:33:46.831000+00:00
newbies-113,7.32E+17,"<umbrella protecting in storm>, unreal engine, james gilleard, 32k uhd, realistic visuals with soft, tonal colors, rendered in cinema4d, 32k uhd, soft gradients, #vfxfriday, light orange and bronze, utopian theme --ar 1200:630 --v 5",2023-04-27T04:32:49.506000+00:00
newbies-113,1.04E+18,An Oreo and Cadbury futuristic kitchen --v 5 --q 2,2023-04-27T04:30:41.586000+00:00
newbies-113,1.08E+18,little kid with pinwheel hat Pixar cartoon,2023-04-27T04:33:36.752000+00:00
newbies-113,7.72E+17,english bull dog DJ playing at a rave,2023-04-27T04:31:02.154000+00:00
newbies-113,1.09E+18,<https://s.mj.run/4-wQnWmmmHs> <https://s.mj.run/xkE8-E-N1Tg>,2023-04-27T04:30:18.824000+00:00
newbies-143,1.10E+18,"Black girl with basketball in her hand on a basketball court. Nightime. Dark. Spotlight from above shines on the girl. Space Needle & City of Seattle skyline is prominent in back ground. hyper realistic and cinematic photography, photo realistic, professional color grading, long shot, clean sharp focus, 35mm film --ar 16:9 --seed 777 --v 5",2023-04-27T04:16:52.362000+00:00
newbies-143,1.09E+18,"Alibaba Cloud service, pixar style, best quality, --ar 3:2 --q 2 --s 750 --v 5",2023-04-27T04:34:15.172000+00:00
newbies-143,1.10E+18,"Dark pink dahlia fills the screen, flower, high resolution, realistic photo, partial focus on petals",2023-04-27T04:19:56.873000+00:00
newbies-143,1.10E+18,"Generate an image of a classic stopwatch placed on a black background. Surrounding the stopwatch, add the text Fast Track Program in a bold and modern font. The stopwatch should have a metallic appearance with visible buttons, a clear display, and precise markings. The text should be in a contrasting color, such as white or silver, and positioned evenly around the stopwatch. Text should be written in English.",2023-04-27T04:18:01.246000+00:00
newbies-143,7.72E+17,stunning black 35 year old woman cradling a finish baby seated on a throne in the middle of heaven,2023-04-27T04:15:19.834000+00:00
newbies-143,1.08E+18,"Detailed landscape shot of an ancient Japanese budiling with lights. Beautiful Lighting, Global Illumination, Post Processing, Post - Production, Realistic CGI Fantastic backlight HDR Studio light, Tone Mapping, CGI, VFX, SFX, insanely detailed and intricate, hypermaximalist, --v 5",2023-04-27T04:22:05.757000+00:00
newbies-143,9.81E+17,"In this midjourney image, we see a stunningly realistic full body image of a young black girl with long locs floating in space. Her arms and lex are relaxed She is face to face with an Anunnaki alien from another planet, and they are surrounded by enormous, vibrant planets. The girls eyes are wide with wonder and curiosity, and her expression suggests that she is experiencing something truly remarkable. The Anunnaki alien is equally captivating, with a towering presence and otherworldly features. Its skin is a dark shade of blue, and its eyes are large and luminous, reflecting the light of the stars that surround them. The aliens expression is one of calm curiosity, as if it is studying the girl just as she is studying it. The background is a breathtaking vista of planets, stars, and galaxies, with enormous celestial bodies filling the entire frame. Some of the planets are so large that they seem to fill the entire horizon, and the colors are vivid and intense. In the distance, we can see a tiny blue and green planet - Earth - reminding us of the vastness of the universe and our place within it. The image is captured in stunning 8K resolution, with incredible detail and depth. The 24mm lens gives the image a wide field of view, making the viewer feel as if they are right there in the midst of this incredible encounter. The V5 and S250 settings ensure that the image is sharp and clear, with vibrant colors and lifelike textures. Overall, this midjourney image is a testament to the power of imagination and the wonder of the universe. It captures a moment of awe-inspiring beauty and encourages us to dream big and explore the unknown.",2023-04-27T04:13:31.678000+00:00
newbies-173,1.09E+18,"Cool trendy clothes, very cool and beautiful and face, blindbox style, full body 3D art, very cooland beautiful and cute face, full body 3DRENDER, futuristic, solarpunk style, fluorescenttoner background, transparent PVC colorful hairGothic makeup, fine luster, white pastel color,flaming effect, transparent metal texture bodyPVC material, 3D model, C4D render.deconstruct style, transparent gradient color.backlighting, backlighting, best quality, verydetailed --q 2 --s 180 --niji 5 --style expressive --s 250 --niji 5 --q 2",2023-04-27T04:25:51.044000+00:00
newbies-173,1.03E+18,"a gold dragon flying and eating its tail, backlit, vector art, background is transparent alpha, 512x512 pixels",2023-04-27T04:44:56.662000+00:00
newbies-173,9.72E+17,"Brutalist Russian architecture seen from the moon, with the planet earth in the background",2023-04-27T04:31:44.767000+00:00
newbies-173,4.33E+17,cyberpunk girl with red hair,2023-04-27T04:31:03.048000+00:00
newbies-173,3.02E+17,"Create a logo that is can be put onto clothing and jewelry, that is very sleek and simple, something that isnt to flashy",2023-04-27T04:10:20.703000+00:00
newbies-173,8.88E+17,elon musk flaunting a bunch of US dollars in his hands with a proud face,2023-04-27T04:14:29.692000+00:00
newbies-3,1.10E+18,"mascot, insect,cute,White Back",2023-04-27T04:45:57.501000+00:00
newbies-3,9.34E+17,crocodile fighting a cow in dark river of fire,2023-04-27T04:41:58.941000+00:00
newbies-3,8.77E+17,"<https://s.mj.run/m2QZK8TrAuE>, DVD screengrab of scifi movie 1986 detailed --ar 16:9",2023-04-27T04:45:37.702000+00:00
newbies-3,9.29E+17,"make a realistic coffee mug for a commercial, with a cappuccino. The lightning should dark and have a sense of creamy. Extremely detailed",2023-04-27T04:36:33.155000+00:00
newbies-3,9.88E+17,"An image of happy people doing water aerobics might feature an aquatic setting, such as a swimming pool or lake, with several people dressed in swimsuits, smiling and working out as a group.",2023-04-27T04:44:04.718000+00:00
newbies-3,2.68E+17,"a hooded thief::3 holding a scythe::2, standing on rocks::fantasy miniature, 28mm",2023-04-27T04:32:18.339000+00:00
newbies-3,6.95E+17,"3d hero image of a KRK Rokit 5 Audio Monitor with a cyberpunk style, black brackground, futuristic, retrofuture",2023-04-27T04:22:05.498000+00:00
newbies-3,1.07E+18,modern coliseum gym with its architecture and items inspired in the Hellenic culture --v 4,2023-04-27T04:20:04.929000+00:00
newbies-3,8.59E+17,give me other exterior designs,2023-04-27T04:23:35.531000+00:00
newbies-3,5.74E+17,fantasy portrait dwarf traveler,2023-04-27T04:20:03.094000+00:00
newbies-33,1.09E+18,<https://s.mj.run/_auQM17Knpw> pattern --v 5 --q 2 --s 750,2023-04-27T04:43:29.962000+00:00
newbies-33,1.08E+18,a photograph of a man with a tablet .The background should be a warehoue,2023-04-27T04:42:56.856000+00:00
newbies-33,1.09E+18,"half body shot, A short hair cool male holds a basketball on a wooden basketball court, background is a wooden floor basketball court, shoot basketball, taking a shot, NBA court background, black eyes, black jersey, japanese style tattoos, black outfit, nike shoes, nike, confident expressions, happy expressions, looking directly into the camera, anime art by Inoue Takehiko, slam dunk, clean art, Manga look, full-color --ar 3:4 --niji 5 --style expressive --s 250 --niji 5",2023-04-27T04:34:13.320000+00:00
newbies-33,1.10E+18,"two hungry and happy girls receiving a box of hot pizza from a futuristic flying robotic drone in Krabi, botanical, islands, palm trees --v 5 --s 750",2023-04-27T04:11:11.052000+00:00
newbies-33,9.70E+17,"Chains or restraints: Depict a childs hands or feet being locked or restrained, showing that they are forced to stay in one place to work or suffer physical restrictions and exploitation. ar3:2 --q 2 --v 5",2023-04-27T04:11:03.594000+00:00
newbies-33,1.10E+18,wooden floor; office space; interior design; skyline; candle; firework; gaintic painting,2023-04-27T04:10:50.385000+00:00
newbies-33,2.56E+17,coniferous tree drawn in the style of minimalism. Vector graphics — s 0,2023-04-27T04:11:43.211000+00:00
newbies-33,1.03E+18,"a logo for letter X, graphic design",2023-04-27T04:13:27.824000+00:00
newbies-63,1.06E+18,people eating brisket --v 5,2023-04-27T04:19:04.415000+00:00
newbies-63,1.10E+18,"potrait of a pretty woman wearing a Y-shirts, mock up on a beautiful Korean idol like female, She is working from home at a cafe and has a laptop and Starbucks coffee in front of her --q 2 --uplight --s 1000 --v 5",2023-04-27T03:51:37.929000+00:00
newbies-63,4.26E+17,"Kermit the frog wearing a MF DOOM mask. Vector color and line art illustration, crisp and clean vector line, flat colors, cell shading, smooth gradients, black contour outline, ultra detailed, vivid colors, HDR, in the style of die - cut stickers --v 5",2023-04-27T04:12:32.416000+00:00
newbies-63,7.94E+17,"Best quality, masterpiece, ultra high res, (photorealistic:1.4), raw photo, 1girl, Green tank top with floral maxi skirt,library, Negativesfw ng_deepnegative_v1_75t, ((badhandv4)), (worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, bad hands, normal quality, ((monochrome)), ((grayscale)) watermark ENSD: 31337, Size: 512x768, Seed: 3705855002, Model: braBeautifulRealistic_v40, Steps: 30, Sampler: DPM++ 2M Karras, CFG scale: 7, Clip skip: 2, Model hash: 9c03252bea, Hires steps: 15, Hires upscale: 2, Hires upscaler: R-ESRGAN 4x+, Denoising strength: 0.36",2023-04-27T03:53:28.167000+00:00
newbies-63,5.40E+17,"Neon cityscape A vibrant and colorful sticker featuring the towering skyscrapers of a futuristic, neon-lit metropolis. Think Blade Runner sticker",2023-04-27T03:51:51.110000+00:00
newbies-63,7.60E+17,"<https://s.mj.run/dptA5Bgs_qs> 3D cartoon of a brunette female, Pixar style",2023-04-27T03:46:11.348000+00:00
newbies-63,6.36E+17,"Spiritual Oracle Deck template design, Hoodoo, Voodoo, Conjure, Cowrie shell, beautiful, intentional",2023-04-27T03:41:10.639000+00:00
newbies-63,5.22E+17,"carpet but made of stone, capet is made of a stone texture.",2023-04-27T03:42:59.763000+00:00
newbies-93,1.10E+18,"watercolor pitcher of lemonade with mason jar of lemonade with sweat on the glass next to it, a couple of lemons and lemon slices, mint leaves, white background --ar 16:9 --v 5",2023-04-27T04:14:23.239000+00:00
newbies-93,9.10E+17,"Create a realistic and detailed gamer image of a Call of Duty Warzone character holding two bombs in their hands, with a fiery background.",2023-04-27T04:17:24.919000+00:00
newbies-93,6.46E+17,"Galaxy space war scene with small and large ships in a dark, evil galaxy.",2023-04-27T04:18:43.433000+00:00
newbies-93,1.07E+18,"architecture visualization of an art installation that looks like flower made from luminous glass, flowers blooming popping out from the glass petals, surrounded by pastel color forest. Dreamy, mystic, hyperrealism, photorealistic render, hyperrealistic, photo cinematic, raytracing reflections, depth of field, 8K ultra HD --no wall --v 5 --ar 4:5 --q 5",2023-04-27T04:13:54.590000+00:00
newbies-17,8.20E+17,photo of a coffee drinking competition in a post-apocalyptic indie cafe.,2023-04-27T04:24:08.498000+00:00
newbies-17,5.34E+17,"psychedelic bright fantastic mushrooms, pencil and marker sketch, bright colors, white background --ar 2:3 --s 750 --v 5 --q 2",2023-04-27T04:30:04.741000+00:00
newbies-17,1.09E+18,the human eye real picture Image quality 4k clear --ar 9:16,2023-04-27T04:37:55.515000+00:00
newbies-17,1.10E+18,"<https://s.mj.run/cf-7yGwO31I>, a young biological man holds a marionette of a smaller mechanized man, the mechanized man holds a marionette of a smaller biological man, movie cover, — v 5",2023-04-27T04:25:44.842000+00:00
newbies-17,1.07E+18,"logo eiffel tower neon colors, white background",2023-04-27T04:23:42.431000+00:00
newbies-17,1.10E+18,"watercolor, beautiful white mother in pastel color dress, happy, pregnamt, placing arms lovingly on her belly, clipart hd, 8k, --s 750 --q 2 --v 5",2023-04-27T04:23:28.549000+00:00
