Channel,ID,Prompt,Date,Tokenized Text,Adjectives Removed,Stemmed Tokens
newbies 33,"747,838,555,761,672,000.00",EXTERNALURL  EXTERNALURL ,3/29/2023,"['externalurl', 'externalurl']","['externalurl', 'externalurl']","['externalurl', 'externalurl']"
newbies 3,"1,083,119,432,282,410,000.00",EXTERNALURL  EXTERNALURL ,3/29/2023,"['externalurl', 'externalurl']","['externalurl', 'externalurl']","['externalurl', 'externalurl']"
newbies 3,5.64E+17,an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,3/29/2023,"['tech', 'nerd', 'dressed', 'like', 'tom', 'cruise', 'action', 'movie', 'hovering', 'shipwreck', 'rescue', 'helicopter', 'style', 'michael', 'bay', 'film']","['tech', 'nerd', 'dressed', 'like', 'tom', 'cruise', 'action', 'movie', 'hovering', 'shipwreck', 'rescue', 'helicopter', 'style', 'michael', 'bay', 'film']","['tech', 'nerd', 'dress', 'like', 'tom', 'cruis', 'action', 'movi', 'hover', 'shipwreck', 'rescu', 'helicopt', 'style', 'michael', 'bay', 'film']"
newbies 3,7.76E+17,art for podcast named Taste Buds that is hosted by these two guys EXTERNALURL ,3/29/2023,"['art', 'podcast', 'named', 'taste', 'buds', 'hosted', 'two', 'guys', 'externalurl']","['art', 'podcast', 'named', 'taste', 'buds', 'hosted', 'two', 'guys', 'externalurl']","['art', 'podcast', 'name', 'tast', 'bud', 'host', 'two', 'guy', 'externalurl']"
newbies 3,1.09E+18,8k photo realistic great white shark on beach  realistic teeth  realistic eyes  realistic colors  bystanders on the beach  photography image,3/29/2023,"['8k', 'photo', 'shark', 'beach', 'teeth', 'eyes', 'colors', 'bystanders', 'beach', 'photography', 'image']","['8k', 'photo', 'shark', 'beach', 'eyes', 'colors', 'bystanders', 'beach', 'photography', 'image']","['8k', 'photo', 'shark', 'beach', 'teeth', 'eye', 'color', 'bystand', 'beach', 'photographi', 'imag']"
newbies 3,4.56E+17,wide angle full body shot  group of agressive Cyberpunk 2077 NPCs  6th Street gang  standing in the shadow of a building  on the street corner  Downtown Los Angeles   ,3/29/2023,"['angle', 'body', 'group', 'cyberpunk', '2077', 'npcs', '6th', 'street', 'gang', 'standing', 'shadow', 'building', 'street', 'corner', 'downtown', 'los', 'angeles']","['angle', 'body', 'group', 'cyberpunk', '2077', 'npcs', '6th', 'street', 'gang', 'standing', 'shadow', 'building', 'street', 'corner', 'downtown', 'angeles']","['angl', 'bodi', 'group', 'cyberpunk', '2077', 'npc', '6th', 'street', 'gang', 'stand', 'shadow', 'build', 'street', 'corner', 'downtown', 'lo', 'angel']"
newbies 3,1.02E+18,artwork by michel granger skull ,3/29/2023,"['artwork', 'michel', 'granger', 'skull']","['artwork', 'michel', 'granger', 'skull']","['artwork', 'michel', 'granger', 'skull']"
newbies 3,1.08E+18,banana and peanut butter toast drawn in a 3d cartoon style on a white background  ,3/29/2023,"['banana', 'peanut', 'butter', 'toast', 'drawn', '3d', 'cartoon', 'style', 'background']","['banana', 'peanut', 'butter', 'toast', 'drawn', '3d', 'cartoon', 'style', 'background']","['banana', 'peanut', 'butter', 'toast', 'drawn', '3d', 'cartoon', 'style', 'background']"
newbies 3,7.69E+17,new York city transit map diagram in the year 400 000 a d  v 5  ,3/29/2023,"['york', 'city', 'transit', 'map', 'diagram', 'year', '400', '000', 'v', '5']","['york', 'city', 'transit', 'map', 'diagram', 'year', '400', '000', 'v', '5']","['york', 'citi', 'transit', 'map', 'diagram', 'year', '400', '000', 'v', '5']"
newbies 3,6.42E+17,Create an image for children ages 3 6 years old  The scene should include a variety of flowers and plants in bright  primary and secondary colors  Arrange the colors in the garden to resemble a rainbow  gradually transitioning from one color to another  Include friendly insects like a smiling butterfly  The insects should be colorful and have simple  recognizable features  Make sure the overall composition is balanced  easy to understand  Use a bright colorful blue sky with fluffy white clouds in the background  and a simple colorful grassy ground to complete the scene ,3/29/2023,"['create', 'image', 'children', 'ages', '3', '6', 'years', 'scene', 'include', 'variety', 'flowers', 'plants', 'primary', 'colors', 'arrange', 'colors', 'garden', 'resemble', 'rainbow', 'gradually', 'transitioning', 'one', 'color', 'another', 'include', 'insects', 'like', 'smiling', 'butterfly', 'insects', 'simple', 'features', 'make', 'composition', 'balanced', 'understand', 'use', 'blue', 'sky', 'clouds', 'background', 'grassy', 'ground', 'complete', 'scene']","['create', 'image', 'children', 'ages', '3', '6', 'years', 'include', 'variety', 'flowers', 'plants', 'colors', 'arrange', 'colors', 'garden', 'rainbow', 'gradually', 'transitioning', 'one', 'color', 'another', 'include', 'insects', 'like', 'smiling', 'butterfly', 'insects', 'features', 'make', 'composition', 'balanced', 'understand', 'use', 'sky', 'clouds', 'background', 'ground', 'scene']","['creat', 'imag', 'children', 'age', '3', '6', 'year', 'scene', 'includ', 'varieti', 'flower', 'plant', 'primari', 'color', 'arrang', 'color', 'garden', 'resembl', 'rainbow', 'gradual', 'transit', 'one', 'color', 'anoth', 'includ', 'insect', 'like', 'smile', 'butterfli', 'insect', 'simpl', 'featur', 'make', 'composit', 'balanc', 'understand', 'use', 'blue', 'sky', 'cloud', 'background', 'grassi', 'ground', 'complet', 'scene']"
newbies 3,9.36E+17,female avatar EXTERNALURL  color  4aa2b4  cubism  ,3/29/2023,"['avatar', 'externalurl', 'color', '4aa2b4', 'cubism']","['avatar', 'externalurl', 'color', '4aa2b4', 'cubism']","['avatar', 'externalurl', 'color', '4aa2b4', 'cubism']"
newbies 3,1.03E+18,Twix candy bar on the moon,3/29/2023,"['twix', 'candy', 'bar', 'moon']","['twix', 'candy', 'bar', 'moon']","['twix', 'candi', 'bar', 'moon']"
newbies 3,7.51E+17,Logo of a beautiful house with a 2 meter trophy in front of it  and the Number 1 engraved on the trophy  flat style 4k,3/29/2023,"['logo', 'house', '2', 'meter', 'trophy', 'front', 'number', '1', 'engraved', 'trophy', 'style', '4k']","['logo', 'house', '2', 'meter', 'trophy', 'number', '1', 'trophy', 'style', '4k']","['logo', 'hous', '2', 'meter', 'trophi', 'front', 'number', '1', 'engrav', 'trophi', 'style', '4k']"
newbies 3,1.09E+18,EXTERNALURL  white label seo report provider,3/29/2023,"['externalurl', 'label', 'seo', 'report', 'provider']","['externalurl', 'label', 'report', 'provider']","['externalurl', 'label', 'seo', 'report', 'provid']"
newbies 3,1.09E+18,EXTERNALURL  wide angle photo of a cemetery on fire with many graves  dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor  flames  hd  super realistic  hyper detailed  Photoshoot  high quality  insane details  hyper detailed  ,3/29/2023,"['externalurl', 'angle', 'photo', 'cemetery', 'fire', 'graves', 'dressed', 'king', 'henry', 'viii', 'england', 'top', 'grave', 'cape', 'reaches', 'floor', 'flames', 'hyper', 'detailed', 'photoshoot', 'quality', 'insane', 'details', 'hyper']","['externalurl', 'angle', 'photo', 'cemetery', 'fire', 'graves', 'dressed', 'king', 'henry', 'viii', 'england', 'grave', 'cape', 'reaches', 'floor', 'flames', 'hyper', 'photoshoot', 'quality', 'insane', 'details', 'hyper']","['externalurl', 'angl', 'photo', 'cemeteri', 'fire', 'grave', 'dress', 'king', 'henri', 'viii', 'england', 'top', 'grave', 'cape', 'reach', 'floor', 'flame', 'hyper', 'detail', 'photoshoot', 'qualiti', 'insan', 'detail', 'hyper']"
newbies 33,9.66E+17,simple pixel art ui theme style blank background in a beige and black color  ,3/29/2023,"['simple', 'art', 'theme', 'style', 'blank', 'background', 'beige', 'color']","['theme', 'style', 'blank', 'background', 'beige', 'color']","['simpl', 'art', 'theme', 'style', 'blank', 'background', 'beig', 'color']"
newbies 33,1.07E+18,vector graphic  solid background  tauras zodiac character  female queen  realistic  8k HD  colorful  cinematic lighting  bull  fantasy  powerful   ,3/29/2023,"['vector', 'background', 'tauras', 'zodiac', 'character', 'female', '8k', 'hd', 'lighting', 'bull', 'fantasy']","['vector', 'background', 'tauras', 'character', 'female', '8k', 'hd', 'lighting', 'bull', 'fantasy']","['vector', 'background', 'taura', 'zodiac', 'charact', 'femal', '8k', 'hd', 'light', 'bull', 'fantasi']"
newbies 33,1.09E+18,Looking down the cyberpunk City  airships shuttle in the air  colorful colors  fog  rainy days  neon lights  Marc Simonetti on artstation8K HD,3/29/2023,"['looking', 'cyberpunk', 'city', 'airships', 'shuttle', 'air', 'colors', 'fog', 'days', 'neon', 'lights', 'marc', 'simonetti', 'artstation8k', 'hd']","['looking', 'cyberpunk', 'city', 'airships', 'air', 'colors', 'fog', 'days', 'neon', 'lights', 'marc', 'artstation8k', 'hd']","['look', 'cyberpunk', 'citi', 'airship', 'shuttl', 'air', 'color', 'fog', 'day', 'neon', 'light', 'marc', 'simonetti', 'artstation8k', 'hd']"
newbies 33,9.05E+17,farmer bitcoin  8k  cinematic,3/29/2023,"['farmer', 'bitcoin', '8k']","['farmer', 'bitcoin', '8k']","['farmer', 'bitcoin', '8k']"
newbies 33,8.64E+17,grey alien that looks like a photograph taken with a high quality camera  The lighting should be natural and the colors should be vivid but not oversaturated  The image should be detailed and sharp  with a shallow depth of field that emphasizes the subject and blurs the background  The overall tone should be realistic and true to life  with no obvious signs of digital manipulation or artificiality   ,3/29/2023,"['grey', 'alien', 'looks', 'like', 'photograph', 'taken', 'quality', 'camera', 'lighting', 'colors', 'vivid', 'oversaturated', 'image', 'detailed', 'depth', 'field', 'emphasizes', 'subject', 'blurs', 'background', 'tone', 'life', 'signs', 'manipulation', 'artificiality']","['looks', 'like', 'photograph', 'taken', 'quality', 'camera', 'lighting', 'colors', 'vivid', 'oversaturated', 'image', 'field', 'emphasizes', 'blurs', 'background', 'life', 'signs', 'manipulation', 'artificiality']","['grey', 'alien', 'look', 'like', 'photograph', 'taken', 'qualiti', 'camera', 'light', 'color', 'vivid', 'oversatur', 'imag', 'detail', 'depth', 'field', 'emphas', 'subject', 'blur', 'background', 'tone', 'life', 'sign', 'manipul', 'artifici']"
newbies 33,1.08E+18,Naomi Campbell  model  vogue  photography  super detail  fashion  light photography  editorial vogue  editorial,3/29/2023,"['naomi', 'campbell', 'model', 'vogue', 'photography', 'detail', 'fashion', 'light', 'editorial', 'vogue', 'editorial']","['naomi', 'campbell', 'model', 'vogue', 'photography', 'detail', 'fashion', 'editorial', 'vogue', 'editorial']","['naomi', 'campbel', 'model', 'vogu', 'photographi', 'detail', 'fashion', 'light', 'editori', 'vogu', 'editori']"
newbies 63,7.01E+17,The Search for the Golden Acorn  illustration  water paint,3/29/2023,"['search', 'golden', 'acorn', 'illustration', 'water', 'paint']","['search', 'illustration', 'water', 'paint']","['search', 'golden', 'acorn', 'illustr', 'water', 'paint']"
newbies 63,1.07E+18,elephant in group with baby   going to drink  full body  side view  sunny day  national geographic  award winner  on Agfa Vista  ,3/29/2023,"['elephant', 'group', 'baby', 'going', 'drink', 'body', 'view', 'day', 'award', 'winner', 'agfa', 'vista']","['group', 'baby', 'going', 'drink', 'view', 'day', 'award', 'winner', 'agfa', 'vista']","['eleph', 'group', 'babi', 'go', 'drink', 'bodi', 'view', 'day', 'award', 'winner', 'agfa', 'vista']"
newbies 63,6.96E+17,a young  hispanic housewife in the 1950s with short straight hair in a bob style  rich mocha skin color  light pastel yellow background  digital color drawing  pop realism style  ,3/29/2023,"['housewife', '1950s', 'hair', 'bob', 'style', 'mocha', 'skin', 'color', 'pastel', 'background', 'color', 'drawing', 'realism', 'style']","['housewife', '1950s', 'hair', 'style', 'mocha', 'skin', 'color', 'pastel', 'background', 'color', 'drawing', 'realism', 'style']","['housewif', '1950', 'hair', 'bob', 'style', 'mocha', 'skin', 'color', 'pastel', 'background', 'color', 'draw', 'realism', 'style']"
