Prompt,Negative,Neutral,Positive,Compound
an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,0.073,0.733,0.193,0.5574
art for podcast named Taste Buds that is hosted by these two guys ExternalUrl ,0.0,1.0,0.0,0.0
8k photo realistic great white shark on beach  realistic teeth  realistic eyes  realistic colors  bystanders on the beach  photography image,0.0,0.823,0.177,0.6249
wide angle full body shot  group of agressive Cyberpunk 2077 NPCs  6th Street gang  standing in the shadow of a building  on the street corner  Downtown Los Angeles   ,0.0,1.0,0.0,0.0
artwork by michel granger skull ,0.0,1.0,0.0,0.0
banana and peanut butter toast drawn in a 3d cartoon style on a white background  ,0.0,1.0,0.0,0.0
new York city transit map diagram in the year 400 000 a d  v 5  ,0.0,1.0,0.0,0.0
Create an image for children ages 3 6 years old  The scene should include a variety of flowers and plants in bright  primary and secondary colors  Arrange the colors in the garden to resemble a rainbow  gradually transitioning from one color to another  Include friendly insects like a smiling butterfly  The insects should be colorful and have simple  recognizable features  Make sure the overall composition is balanced  easy to understand  Use a bright colorful blue sky with fluffy white clouds in the background  and a simple colorful grassy ground to complete the scene ,0.0,0.782,0.218,0.9628
female avatar ExternalUrl  color #4aa2b4  cubism  ,0.0,1.0,0.0,0.0
Twix candy bar on the moon,0.0,1.0,0.0,0.0
Logo of a beautiful house with a 2 meter trophy in front of it  and the Number 1 engraved on the trophy  flat style 4k,0.0,0.785,0.215,0.6369
ExternalUrl  white label seo report provider,0.0,1.0,0.0,0.0
ExternalUrl  wide angle photo of a cemetery on fire with many graves  dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor  flames  hd  super realistic  hyper detailed  Photoshoot  high quality  insane details  hyper detailed  ,0.187,0.682,0.131,-0.4588
simple pixel art ui theme style blank background in a beige and black color  ,0.0,1.0,0.0,0.0
vector graphic  solid background  tauras zodiac character  female queen  realistic  8k HD  colorful  cinematic lighting  bull  fantasy  powerful   ,0.0,0.784,0.216,0.5267
Looking down the cyberpunk City  airships shuttle in the air  colorful colors  fog  rainy days  neon lights  Marc Simonetti on artstation8K HD,0.058,0.942,0.0,-0.0772
farmer bitcoin  8k  cinematic,0.0,1.0,0.0,0.0
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
