Prompt,Dominant_Topic,Keywords
an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
art for podcast named Taste Buds that is hosted by these two guys ExternalUrl ,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"8k photo realistic great white shark on beach, realistic teeth, realistic eyes, realistic colors, bystanders on the beach, photography image",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"wide angle full body shot, group of agressive Cyberpunk 2077 NPCs, 6th Street gang, standing in the shadow of a building, on the street corner, Downtown Los Angeles, -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
artwork by michel granger skull-,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
banana and peanut butter toast drawn in a 3d cartoon style on a white background -,2,"color, imag, eye, scene, man, creat, light, detail, captur, surround"
"new York city transit map diagram in the year 400,000 a.d. v 5 -",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
"Create an image for children ages 3-6 years old. The scene should include a variety of flowers and plants in bright, primary and secondary colors, Arrange the colors in the garden to resemble a rainbow, gradually transitioning from one color to another. Include friendly insects like a smiling butterfly, The insects should be colorful and have simple, recognizable features. Make sure the overall composition is balanced, easy to understand, Use a bright colorful blue sky with fluffy white clouds in the background, and a simple colorful grassy ground to complete the scene.",2,"color, imag, eye, scene, man, creat, light, detail, captur, surround"
"woman avatar ExternalUrl  color #4aa2b4, cubism -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
Twix candy bar on the moon,2,"color, imag, eye, scene, man, creat, light, detail, captur, surround"
"Logo of a beautiful house with a 2 meter trophy in front of it, and the Number 1 engraved on the trophy, flat style 4k",1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
ExternalUrl  white label seo report provider,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"ExternalUrl  wide angle photo of a cemetery on fire with many graves, dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor, flames, hd, super realistic, hyper detailed, Photoshoot, high quality, insane details, hyper-detailed -",1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
simple pixel art ui theme style blank background in a beige and black color -,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"vector graphic, solid background, tauras zodiac character, woman queen, realistic, 8k HD, colorful, cinematic lighting, bull, fantasy, powerful, -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"Looking down the cyberpunk City, airships shuttle in the air, colorful colors, fog, rainy days, neon lights, Marc Simonetti on artstation8K,HD",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"farmer bitcoin, 8k, cinematic",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
ExternalUrl  ExternalUrl ,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"grey alien that looks like a photograph taken with a high-quality camera. The lighting should be natural and the colors should be vivid but not oversaturated. The image should be detailed and sharp, with a shallow depth of field that emphasizes the subject and blurs the background. The overall tone should be realistic and true to life, with no obvious signs of digital manipulation or artificiality. -",2,"color, imag, eye, scene, man, creat, light, detail, captur, surround"
"Naomi Campbell, model, vogue, photography, super detail, fashion, light photography, editorial vogue, editorial",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"The Search for the Golden Acorn, illustration, water paint",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
"elephant in group with baby , going to drink, full body, side view, sunny day, national geographic, award winner, on Agfa Vista -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"a young, hispanic housewife in the 1950s with short straight hair in a bob style, rich mocha skin color, light pastel yellow background, digital color drawing, pop realism style -",4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
"The Search for the Golden Acorn, illustration, water paint",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
"man person in a classroom, looking at his labtop, face with lot of fear, horror, pixar style, high quality -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
carpet swatch,2,"color, imag, eye, scene, man, creat, light, detail, captur, surround"
Jesus as a drag queen on the cross -,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
three different football ball (for coloring),4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
"cat,Superman,3d,real -",4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
man,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
scary gathering of witches and demons,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
Photograph of a Tree stump in a rainy forest. Dark and gloomy. Sun setting behind camera. Rain coming down. Detailed and stylised. Wide lens. Photorealistic.,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
"Face of Wrestling legend Sami Zayn carved into stone, very detailled, 4k",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
"vector logo, black and white, friendly fat ninja using a kimono -",1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"ExternalUrl , cute young woman, pixar character, 3d, cgi, art, blurred yellow background, high resolution, 4K resolution",0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
"sleek modern one page website for middleware software, ui, ux",1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
photorealistic runner sprint on the right side and jogger on the left side -,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
" interactive virtual training, -",4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
wrapped present with futuristic wrapping paper,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"boxing,gaming,vibes,ksi, Logan Paul",4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
"realistic hyperealism photorealism hyperdetailed intricately detailed fine detailed rendering of hindu god ram inspired by vidyut jamwal and lord rama pic (carry weapon bow and arrow in his hands) (royal saffron attire with jwellery and hindu king crown), god aura behind head, , mystic 32k cinematic lighting, ultra hd -",1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"repeating patter, pineapples and mango, fun colors, 169 -",4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
space and winter,4,"book, illustr, art, woman, cat, color, play, man, dog, cartoon"
a minimal modern logo for a wellness center based on a five point star,3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
ExternalUrl  ExternalUrl ,1,"externalurl, design, logo, color, imag, use, creat, art, vector, line"
"D&D serious looking half elf paladin, long white hair, with divine aura in detailed ceremonial armor, and blue clock standing in front of a gothic castle skyline in the background, heroic action pose, d&d fantasy -",3,"woman, wear, man, photo, hair, look, externalurl, face, shot, camera"
picasso rendition of van gough starry night,0,"detail, color, photographi, 8k, light, illumin, ray, grade, cinemat, trace"
