Prompt,Dominant_Topic,Keywords
an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
art for podcast named Taste Buds that is hosted by these two guys ExternalUrl ,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"8k photo realistic great white shark on beach, realistic teeth, realistic eyes, realistic colors, bystanders on the beach, photography image",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"wide angle full body shot, group of agressive Cyberpunk 2077 NPCs, 6th Street gang, standing in the shadow of a building, on the street corner, Downtown Los Angeles, -",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
artwork by michel granger skull-,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
banana and peanut butter toast drawn in a 3d cartoon style on a white background -,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
"new York city transit map diagram in the year 400,000 a.d. v 5 -",4,"realist, hair, detail, woman, eye, color, photo, face, look, girl"
"Create an image for children ages 3-6 years old. The scene should include a variety of flowers and plants in bright, primary and secondary colors, Arrange the colors in the garden to resemble a rainbow, gradually transitioning from one color to another. Include friendly insects like a smiling butterfly, The insects should be colorful and have simple, recognizable features. Make sure the overall composition is balanced, easy to understand, Use a bright colorful blue sky with fluffy white clouds in the background, and a simple colorful grassy ground to complete the scene.",1,"logo, color, design, imag, use, creat, illustr, vector, simpl, make"
"female avatar ExternalUrl  color #4aa2b4, cubism -",0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
Twix candy bar on the moon,0,"externalurl, room, design, realist, art, wall, like, 3d, paint, window"
"Logo of a beautiful house with a 2 meter trophy in front of it, and the Number 1 engraved on the trophy, flat style 4k",3,"realist, man, space, hand, cartoon, street, sky, citi, one, beach"
ExternalUrl  white label seo report provider,2,"detail, color, cinemat, photographi, beauti, 8k, realist, art, ray, studio"
