Prompt,Dominant_Topic,Keywords
an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
art for podcast named Taste Buds that is hosted by these two guys ExternalUrl ,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"8k photo realistic great white shark on beach, realistic teeth, realistic eyes, realistic colors, bystanders on the beach, photography image",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"wide angle full body shot, group of agressive Cyberpunk 2077 NPCs, 6th Street gang, standing in the shadow of a building, on the street corner, Downtown Los Angeles, -",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
artwork by michel granger skull-,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
banana and peanut butter toast drawn in a 3d cartoon style on a white background -,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"new York city transit map diagram in the year 400,000 a.d. v 5 -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Create an image for children ages 3-6 years old. The scene should include a variety of flowers and plants in bright, primary and secondary colors, Arrange the colors in the garden to resemble a rainbow, gradually transitioning from one color to another. Include friendly insects like a smiling butterfly, The insects should be colorful and have simple, recognizable features. Make sure the overall composition is balanced, easy to understand, Use a bright colorful blue sky with fluffy white clouds in the background, and a simple colorful grassy ground to complete the scene.",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"woman avatar ExternalUrl  color #4aa2b4, cubism -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
Twix candy bar on the moon,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Logo of a beautiful house with a 2 meter trophy in front of it, and the Number 1 engraved on the trophy, flat style 4k",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
ExternalUrl  white label seo report provider,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"ExternalUrl  wide angle photo of a cemetery on fire with many graves, dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor, flames, hd, super realistic, hyper detailed, Photoshoot, high quality, insane details, hyper-detailed -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
simple pixel art ui theme style blank background in a beige and black color -,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"vector graphic, solid background, tauras zodiac character, woman queen, realistic, 8k HD, colorful, cinematic lighting, bull, fantasy, powerful, -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"Looking down the cyberpunk City, airships shuttle in the air, colorful colors, fog, rainy days, neon lights, Marc Simonetti on artstation8K,HD",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"farmer bitcoin, 8k, cinematic",0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
ExternalUrl  ExternalUrl ,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"grey alien that looks like a photograph taken with a high-quality camera. The lighting should be natural and the colors should be vivid but not oversaturated. The image should be detailed and sharp, with a shallow depth of field that emphasizes the subject and blurs the background. The overall tone should be realistic and true to life, with no obvious signs of digital manipulation or artificiality. -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"Naomi Campbell, model, vogue, photography, super detail, fashion, light photography, editorial vogue, editorial",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"The Search for the Golden Acorn, illustration, water paint",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"elephant in group with baby , going to drink, full body, side view, sunny day, national geographic, award winner, on Agfa Vista -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
"a young, hispanic housewife in the 1950s with short straight hair in a bob style, rich mocha skin color, light pastel yellow background, digital color drawing, pop realism style -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"The Search for the Golden Acorn, illustration, water paint",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"man person in a classroom, looking at his labtop, face with lot of fear, horror, pixar style, high quality -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
carpet swatch,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
Jesus as a drag queen on the cross -,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
three different football ball (for coloring),5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"cat,Superman,3d,real -",5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
man,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
scary gathering of witches and demons,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
Photograph of a Tree stump in a rainy forest. Dark and gloomy. Sun setting behind camera. Rain coming down. Detailed and stylised. Wide lens. Photorealistic.,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"Face of Wrestling legend Sami Zayn carved into stone, very detailled, 4k",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"vector logo, black and white, friendly fat ninja using a kimono -",1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
"ExternalUrl , cute young woman, pixar character, 3d, cgi, art, blurred yellow background, high resolution, 4K resolution",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"sleek modern one page website for middleware software, ui, ux",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
photorealistic runner sprint on the right side and jogger on the left side -,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
" interactive virtual training, -",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
wrapped present with futuristic wrapping paper,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
"boxing,gaming,vibes,ksi, Logan Paul",2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"realistic hyperealism photorealism hyperdetailed intricately detailed fine detailed rendering of hindu god ram inspired by vidyut jamwal and lord rama pic (carry weapon bow and arrow in his hands) (royal saffron attire with jwellery and hindu king crown), god aura behind head, , mystic 32k cinematic lighting, ultra hd -",3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
"repeating patter, pineapples and mango, fun colors, 169 -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
space and winter,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
a minimal modern logo for a wellness center based on a five point star,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
ExternalUrl  ExternalUrl ,2,"externalurl, imag, room, creat, window, paint, live, wall, use, work"
"D&D serious looking half elf paladin, long white hair, with divine aura in detailed ceremonial armor, and blue clock standing in front of a gothic castle skyline in the background, heroic action pose, d&d fantasy -",4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
picasso rendition of van gough starry night,3,"woman, externalurl, cartoon, 8k, detail, hair, 3d, art, color, charact"
a native american indian on the plains in the 1700s photograph,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
chinese white dragon tattoo in calligraphy style,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
creditor and debtor discussion -,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
Illustration of a tiger make with calligraphy strokes and calligraphy shapes,0,"detail, photographi, color, ray, illumin, 8k, reflect, grade, cinemat, trace"
a person wearing a nose piercing,1,"color, logo, design, use, imag, creat, vector, captur, illustr, scene"
Illustration of a tiger make with calligraphy strokes and calligraphy stripes jungle background front face tiger,4,"man, look, face, wear, woman, eye, hair, sit, portrait, hand"
A hyper-realistic landscape of a forest made out of chocolate.,5,"color, paint, tree, 8k, art, photo, externalurl, light, detail, sky"
