Channel,ID,Prompt,Date
newbies 3,5.63806E+17,an indian tech nerd dressed like Tom Cruise in an action movie hovering over a shipwreck in a rescue helicopter in the style of a Michael Bay film,3/29/2023
newbies 3,7.75579E+17,art for podcast named Taste Buds that is hosted by these two guys EXTERNALURL ,3/29/2023
newbies 3,1.08905E+18,8k photo realistic great white shark on beach  realistic teeth  realistic eyes  realistic colors  bystanders on the beach  photography image,3/29/2023
newbies 3,4.56384E+17,wide angle full body shot  group of agressive Cyberpunk 2077 NPCs  6th Street gang  standing in the shadow of a building  on the street corner  Downtown Los Angeles   ,3/29/2023
newbies 3,1.0161E+18,artwork by michel granger skull ,3/29/2023
newbies 3,1.0827E+18,banana and peanut butter toast drawn in a 3d cartoon style on a white background  ,3/29/2023
newbies 3,7.68857E+17,new York city transit map diagram in the year 400 000 a d  v 5  ,3/29/2023
newbies 3,6.42447E+17,Create an image for children ages 3 6 years old  The scene should include a variety of flowers and plants in bright  primary and secondary colors  Arrange the colors in the garden to resemble a rainbow  gradually transitioning from one color to another  Include friendly insects like a smiling butterfly  The insects should be colorful and have simple  recognizable features  Make sure the overall composition is balanced  easy to understand  Use a bright colorful blue sky with fluffy white clouds in the background  and a simple colorful grassy ground to complete the scene ,3/29/2023
newbies 3,9.35883E+17,female avatar EXTERNALURL  color  4aa2b4  cubism  ,3/29/2023
newbies 3,1.02829E+18,Twix candy bar on the moon,3/29/2023
newbies 3,7.50529E+17,Logo of a beautiful house with a 2 meter trophy in front of it  and the Number 1 engraved on the trophy  flat style 4k,3/29/2023
newbies 3,1.09063E+18,EXTERNALURL  white label seo report provider,3/29/2023
newbies 3,1.08923E+18,EXTERNALURL  wide angle photo of a cemetery on fire with many graves  dressed as king henry viii of england is on top of a grave with a long cape that reaches the floor  flames  hd  super realistic  hyper detailed  Photoshoot  high quality  insane details  hyper detailed  ,3/29/2023
newbies 33,9.66031E+17,simple pixel art ui theme style blank background in a beige and black color  ,3/29/2023
newbies 33,1.06854E+18,vector graphic  solid background  tauras zodiac character  female queen  realistic  8k HD  colorful  cinematic lighting  bull  fantasy  powerful   ,3/29/2023
newbies 33,1.08845E+18,Looking down the cyberpunk City  airships shuttle in the air  colorful colors  fog  rainy days  neon lights  Marc Simonetti on artstation8K HD,3/29/2023
newbies 33,9.05096E+17,farmer bitcoin  8k  cinematic,3/29/2023
newbies 33,8.64194E+17,grey alien that looks like a photograph taken with a high quality camera  The lighting should be natural and the colors should be vivid but not oversaturated  The image should be detailed and sharp  with a shallow depth of field that emphasizes the subject and blurs the background  The overall tone should be realistic and true to life  with no obvious signs of digital manipulation or artificiality   ,3/29/2023
newbies 33,1.07509E+18,Naomi Campbell  model  vogue  photography  super detail  fashion  light photography  editorial vogue  editorial,3/29/2023
newbies 63,7.0071E+17,The Search for the Golden Acorn  illustration  water paint,3/29/2023
newbies 63,1.07449E+18,elephant in group with baby   going to drink  full body  side view  sunny day  national geographic  award winner  on Agfa Vista  ,3/29/2023
newbies 63,6.95692E+17,a young  hispanic housewife in the 1950s with short straight hair in a bob style  rich mocha skin color  light pastel yellow background  digital color drawing  pop realism style  ,3/29/2023
newbies 63,3.48811E+17,The Search for the Golden Acorn  illustration  water paint,3/29/2023
newbies 63,1.06711E+18,male person in a classroom  looking at his labtop  face with lot of fear  horror  pixar style  high quality  ,3/29/2023
newbies 63,1.0652E+18,a minimalistic line design logo for a native jungle savage theme with the god of luck and fortune for a decentralized finance cryptocurrency platform titled Totum Finance,3/29/2023
newbies 63,8.46209E+17,carpet swatch,3/29/2023
newbies 93,1.02763E+18,Jesus as a drag queen on the cross  ,3/29/2023
newbies 93,1.08342E+18,three different football ball  for coloring ,3/29/2023
newbies 93,1.08946E+18,cat Superman 3d real  ,3/29/2023
newbies 93,1.08954E+18,man,3/29/2023
newbies 93,1.81464E+17,scary gathering of witches and demons,3/29/2023
newbies 93,8.15036E+17,Photograph of a Tree stump in a rainy forest  Dark and gloomy  Sun setting behind camera  Rain coming down  Detailed and stylised  Wide lens  Photorealistic ,3/29/2023
newbies 93,2.56105E+17,Face of Wrestling legend Sami Zayn carved into stone  very detailled  4k,3/29/2023
newbies 93,1.06812E+18,vector logo  black and white  friendly fat ninja using a kimono  ,3/29/2023
newbies 93,1.07296E+18,EXTERNALURL   cute young woman  pixar character  3d  cgi  art  blurred yellow background  high resolution  4K resolution,3/29/2023
newbies 3,4.10157E+17,sleek modern one page website for middleware software  ui  ux,3/29/2023
newbies 3,7.71643E+17,photorealistic runner sprint on the right side and jogger on the left side  ,3/29/2023
newbies 3,1.05092E+18, interactive virtual training   ,3/29/2023
newbies 3,1.08996E+18,wrapped present with futuristic wrapping paper,3/29/2023
newbies 3,1.09068E+18,boxing gaming vibes ksi  Logan Paul,3/29/2023
newbies 3,1.08848E+18,realistic hyperealism photorealism hyperdetailed intricately detailed fine detailed rendering of hindu god ram inspired by vidyut jamwal and lord rama pic  carry weapon bow and arrow in his hands   royal saffron attire with jwellery and hindu king crown   god aura behind head    mystic 32k cinematic lighting  ultra hd  ,3/29/2023
newbies 3,8.10365E+17,repeating patter  pineapples and mango  fun colors  169  ,3/29/2023
