Channel,ID,Prompt,Timestamp
newbies 113,1.07E+18,two skeleton hugging in love,4/27/2023
newbies-113,8.65E+17,"a close up of the front of a modern brown door, high details -",4/27/2023
newbies-113,1.10E+18,"An animated woman in a doodle style, viewed from the torso up, with radiant hair ",4/27/2023
newbies-113,8.22E+17,driagramatic drawing of self-confidence,4/27/2023
newbies-113,6.12E+17,"Pocahontas as an evil villain, full body, realistic style -",4/27/2023
newbies-113,8.53E+17,"logo for the store barney bear, happy brown bear in an apron in blue and white stripes -",4/27/2023
newbies-113,7.32E+17," umbrella protecting in storm>, unreal engine, james gilleard, 32k uhd, realistic visuals with soft, tonal colors, rendered in cinema4d, 32k uhd, soft gradients, #vfxfriday, light orange and bronze, utopian theme -",4/27/2023
newbies-113,1.04E+18,An Oreo and Cadbury futuristic kitchen -,4/27/2023
newbies-113,1.08E+18,little kid with pinwheel hat Pixar cartoon,4/27/2023
newbies-113,7.72E+17,english bull dog DJ playing at a rave,4/27/2023
newbies-143,1.10E+18,"Black girl with basketball in her hand on a basketball court  Nightime  Dark  Spotlight from above shines on the girl  Space Needle & City of Seattle skyline is prominent in back ground  hyper realistic and cinematic photography, photo realistic, professional color grading, long shot, clean sharp focus, 35mm film -",4/27/2023
newbies-143,1.09E+18,"Alibaba Cloud service, pixar style, best quality, -",4/27/2023
newbies-143,1.10E+18,"Dark pink dahlia fills the screen, flower, high resolution, realistic photo, partial focus on petals",4/27/2023
newbies-143,1.10E+18,"Generate an image of a classic stopwatch placed on a black background  Surrounding the stopwatch, add the text Fast Track Program in a bold and modern font  The stopwatch should have a metallic appearance with visible buttons, a clear display, and precise markings  The text should be in a contrasting color, such as white or silver, and positioned evenly around the stopwatch  Text should be written in English ",4/27/2023
newbies-143,7.72E+17,stunning black 35 year old woman cradling a finish baby seated on a throne in the middle of heaven,4/27/2023
newbies-143,1.08E+18,"Detailed landscape shot of an ancient Japanese budiling with lights  Beautiful Lighting, Global Illumination, Post Processing, Post - Production, Realistic CGI Fantastic backlight HDR Studio light, Tone Mapping, CGI, VFX, SFX, insanely detailed and intricate, hypermaximalist, -",4/27/2023
newbies-143,9.81E+17,"In this midjourney image, we see a stunningly realistic full body image of a young black girl with long locs floating in space  Her arms and lex are relaxed She is face to face with an Anunnaki alien from another planet, and they are surrounded by enormous, vibrant planets  The girls eyes are wide with wonder and curiosity, and her expression suggests that she is experiencing something truly remarkable  The Anunnaki alien is equally captivating, with a towering presence and otherworldly features  Its skin is a dark shade of blue, and its eyes are large and luminous, reflecting the light of the stars that surround them  The aliens expression is one of calm curiosity, as if it is studying the girl just as she is studying it  The background is a breathtaking vista of planets, stars, and galaxies, with enormous celestial bodies filling the entire frame  Some of the planets are so large that they seem to fill the entire horizon, and the colors are vivid and intense  In the distance, we can see a tiny blue and green planet - Earth - reminding us of the vastness of the universe and our place within it  The image is captured in stunning 8K resolution, with incredible detail and depth  The 24mm lens gives the image a wide field of view, making the viewer feel as if they are right there in the midst of this incredible encounter  The V5 and S250 settings ensure that the image is sharp and clear, with vibrant colors and lifelike textures  Overall, this midjourney image is a testament to the power of imagination and the wonder of the universe  It captures a moment of awe-inspiring beauty and encourages us to dream big and explore the unknown ",4/27/2023
newbies-173,1.09E+18,"Cool trendy clothes, very cool and beautiful and face, blindbox style, full body 3D art, very cooland beautiful and cute face, full body 3DRENDER, futuristic, solarpunk style, fluorescenttoner background, transparent PVC colorful hairGothic makeup, fine luster, white pastel color,flaming effect, transparent metal texture bodyPVC material, 3D model, C4D render deconstruct style, transparent gradient color backlighting, backlighting, best quality, verydetailed -",4/27/2023
newbies-173,1.03E+18,"a gold dragon flying and eating its tail, backlit, vector art, background is transparent alpha, 512x512 pixels",4/27/2023
newbies-173,9.72E+17,"Brutalist Russian architecture seen from the moon, with the planet earth in the background",4/27/2023
newbies-173,4.33E+17,cyberpunk girl with red hair,4/27/2023
newbies-173,3.02E+17,"Create a logo that is can be put onto clothing and jewelry, that is very sleek and simple, something that isnt to flashy",4/27/2023
newbies-173,8.88E+17,elon musk flaunting a bunch of US dollars in his hands with a proud face,4/27/2023
newbies-3,1.10E+18,"mascot, insect,cute,White Back",4/27/2023
newbies-3,9.34E+17,crocodile fighting a cow in dark river of fire,4/27/2023
newbies-3,9.29E+17,"make a realistic coffee mug for a commercial, with a cappuccino  The lightning should dark and have a sense of creamy  Extremely detailed",4/27/2023
newbies-3,9.88E+17,"An image of happy people doing water aerobics might feature an aquatic setting, such as a swimming pool or lake, with several people dressed in swimsuits, smiling and working out as a group ",4/27/2023
newbies-3,2.68E+17,"a hooded thief  3 holding a scythe  2, standing on rocks  fantasy miniature, 28mm",4/27/2023
newbies-3,6.95E+17,"3d hero image of a KRK Rokit 5 Audio Monitor with a cyberpunk style, black brackground, futuristic, retrofuture",4/27/2023
